col,bucket,mean,median,min,max,count,iqr
ach,FLAT,0.9335526315789473,1.0,0.7342105263157894,1.0,4,0.0664473684210527
ach,LOSS,0.6493103448275863,0.6493103448275863,0.6493103448275863,0.6493103448275863,1,0.0
ach,WIN,0.265,0.265,0.265,0.265,1,0.0
basinDir,FLAT,0.032947368421052635,0.03439473684210527,0.0225,0.040499999999999994,4,0.011092105263157903
basinDir,LOSS,0.027241379310344833,0.027241379310344833,0.027241379310344833,0.027241379310344833,1,0.0
basinDir,WIN,0.040499999999999994,0.040499999999999994,0.040499999999999994,0.040499999999999994,1,0.0
bv,FLAT,0.044881578947368425,0.03401315789473684,0.0055,0.106,4,0.06489473684210526
bv,LOSS,0.08182758620689655,0.08182758620689655,0.08182758620689655,0.08182758620689655,1,0.0
bv,WIN,0.001,0.001,0.001,0.001,1,0.0
dop,FLAT,0.6367763157894737,0.6560526315789473,0.5,0.735,4,0.12467105263157896
dop,LOSS,0.5306896551724138,0.5306896551724138,0.5306896551724138,0.5306896551724138,1,0.0
dop,WIN,0.765,0.765,0.765,0.765,1,0.0
drift,FLAT,0.20186184210526315,0.20175,0.19594736842105262,0.208,4,0.007138157894736846
drift,LOSS,0.19900000000000004,0.19900000000000004,0.19900000000000004,0.19900000000000004,1,0.0
drift,WIN,0.1985,0.1985,0.1985,0.1985,1,0.0
e_weight,FLAT,0.24125000000000002,0.1875,0.185,0.405,4,0.058750000000000024
e_weight,LOSS,0.18793103448275866,0.18793103448275866,0.18793103448275866,0.18793103448275866,1,0.0
e_weight,WIN,0.185,0.185,0.185,0.185,1,0.0
endo,FLAT,0.03848684210526315,0.0025,0.0,0.1489473684210526,4,0.04098684210526315
endo,LOSS,0.19103448275862067,0.19103448275862067,0.19103448275862067,0.19103448275862067,1,0.0
endo,WIN,0.0,0.0,0.0,0.0,1,0.0
eq_weight,FLAT,0.4340131578947368,0.4655263157894736,0.185,0.62,4,0.20703947368421044
eq_weight,LOSS,0.38310344827586207,0.38310344827586207,0.38310344827586207,0.38310344827586207,1,0.0
eq_weight,WIN,0.185,0.185,0.185,0.185,1,0.0
fh,FLAT,0.9805855263157894,0.9804999999999999,0.9795,0.9818421052631577,4,0.0013355263157893704
fh,LOSS,0.9812758620689656,0.9812758620689656,0.9812758620689656,0.9812758620689656,1,0.0
fh,WIN,0.981,0.981,0.981,0.981,1,0.0
gaba,FLAT,0.6794736842105263,0.7639473684210527,0.375,0.815,4,0.179078947368421
gaba,LOSS,0.5751724137931035,0.5751724137931035,0.5751724137931035,0.5751724137931035,1,0.0
gaba,WIN,0.375,0.375,0.375,0.375,1,0.0
kappa,FLAT,63.83401315789474,63.88302631578948,63.495000000000005,64.07499999999999,4,0.30703947368421325
kappa,LOSS,63.72275862068965,63.72275862068965,63.72275862068965,63.72275862068965,1,0.0
kappa,WIN,64.17500000000001,64.17500000000001,64.17500000000001,64.17500000000001,1,0.0
ne,FLAT,0.24335526315789474,0.25671052631578944,0.0,0.46,4,0.3374342105263157
ne,LOSS,0.11379310344827585,0.11379310344827585,0.11379310344827585,0.11379310344827585,1,0.0
ne,WIN,0.0,0.0,0.0,0.0,1,0.0
phi,FLAT,0.2155065789473684,0.2155,0.21452631578947368,0.2165,4,0.001243421052631588
phi,LOSS,0.21500000000000005,0.21500000000000005,0.21500000000000005,0.21500000000000005,1,0.0
phi,WIN,0.215,0.215,0.215,0.215,1,0.0
q_weight,FLAT,0.3205263157894737,0.2360526315789474,0.185,0.625,4,0.1790789473684211
q_weight,LOSS,0.4248275862068965,0.4248275862068965,0.4248275862068965,0.4248275862068965,1,0.0
q_weight,WIN,0.625,0.625,0.625,0.625,1,0.0
selfObsBias,FLAT,1.0411842105263158,1.0348684210526315,0.95,1.145,4,0.16894736842105262
selfObsBias,LOSS,0.9258620689655171,0.9258620689655171,0.9258620689655171,0.9258620689655171,1,0.0
selfObsBias,WIN,0.85,0.85,0.85,0.85,1,0.0
ser,FLAT,0.8597368421052631,0.8844736842105263,0.67,1.0,4,0.25578947368421057
ser,LOSS,0.9420689655172414,0.9420689655172414,0.9420689655172414,0.9420689655172414,1,0.0
ser,WIN,0.75,0.75,0.75,0.75,1,0.0
sov,FLAT,1.0,1.0,1.0,1.0,4,0.0
sov,LOSS,1.0,1.0,1.0,1.0,1,0.0
sov,WIN,1.0,1.0,1.0,1.0,1,0.0
tape,FLAT,-0.3024342105263158,-0.28900000000000003,-0.517,-0.11473684210526316,4,0.3593157894736842
tape,LOSS,-0.4751379310344827,-0.4751379310344827,-0.4751379310344827,-0.4751379310344827,1,0.0
tape,WIN,-0.11549999999999999,-0.11549999999999999,-0.11549999999999999,-0.11549999999999999,1,0.0
