ts,instance_id,symbol,mode,action,cell,cell_live,lane,side,phi,kappa,bv,drift,fh,sov,selfObsBias,tape,basinDir,sense3Deflection,ach,dop,ser,ne,gaba,endo,q_weight,e_weight,eq_weight,cell_family
2026-05-19 09:56:52.963000+00:00,,ETH_USDT_PERP,investigation,hold,CREATOR_CHOP,True,trend,short,0.215,63.76,0.108,0.198,0.981,1.0,1.46,-0.379,0.021,,1.0,0.5,0.5,1.0,0.38,0.0,0.62,0.19,0.19,CREATOR
2026-05-19 09:56:53.309000+00:00,,ETH_USDT_PERP,investigation,enter_short,CREATOR_TREND_UP,True,trend,short,0.218,63.7,0.12,0.218,0.977,1.0,1.5,-0.49,0.039,,1.0,0.5,0.5,1.0,0.36,0.0,0.64,0.18,0.18,CREATOR
2026-05-19 09:57:22.864000+00:00,,BTC_USDT_PERP,drift,hold,DISSOLVER_TREND_UP,True,swing,short,0.215,64.03,0.006,0.201,0.981,1.0,0.84,-0.099,0.039,,1.0,0.95,0.33,0.0,0.81,0.0,0.19,0.19,0.62,DISSOLVER
2026-05-19 09:57:23.477000+00:00,,BTC_USDT_PERP,drift,hold,DISSOLVER_TREND_UP,True,trend,short,0.214,64.11,0.002,0.191,0.983,1.0,1.07,-0.132,0.034,,1.0,0.55,0.67,0.26,0.81,0.0,0.19,0.19,0.62,DISSOLVER
2026-05-19 09:57:23.657000+00:00,,ETH_USDT_PERP,investigation,hold,DISSOLVER_TREND_UP,True,trend,short,0.217,63.62,0.118,0.211,0.978,1.0,1.29,-0.478,0.037,,1.0,0.3,0.33,0.86,0.82,0.0,0.18,0.18,0.64,DISSOLVER
2026-05-19 09:57:24.307000+00:00,,ETH_USDT_PERP,investigation,hold,DISSOLVER_CHOP,True,trend,short,0.215,63.68,0.108,0.196,0.982,1.0,1.48,-0.365,0.021,,1.0,0.05,0.33,1.0,0.81,0.0,0.19,0.19,0.62,DISSOLVER
2026-05-19 09:57:53.470000+00:00,,BTC_USDT_PERP,drift,hold,DISSOLVER_TREND_UP,True,swing,short,0.215,64.11,0.012,0.198,0.982,1.0,0.98,-0.098,0.038,,0.15,0.62,0.25,0.0,0.81,0.0,0.19,0.19,0.62,DISSOLVER
2026-05-19 09:57:53.496000+00:00,,BTC_USDT_PERP,drift,hold,DISSOLVER_TREND_UP,True,trend,short,0.214,64.2,0.001,0.19,0.983,1.0,0.97,-0.131,0.034,,0.51,0.65,0.75,0.0,0.81,0.0,0.19,0.19,0.62,DISSOLVER
2026-05-19 09:57:54.162000+00:00,,ETH_USDT_PERP,drift,hold,DISSOLVER_TREND_UP,True,trend,short,0.217,63.8,0.006,0.209,0.979,1.0,0.93,-0.473,0.037,,0.7,0.64,0.5,0.0,0.82,0.11,0.18,0.18,0.63,DISSOLVER
2026-05-19 09:57:54.186000+00:00,,ETH_USDT_PERP,drift,hold,DISSOLVER_CHOP,True,trend,short,0.214,63.85,0.002,0.196,0.982,1.0,1.01,-0.36,0.021,,1.0,0.44,0.5,0.06,0.81,0.17,0.19,0.19,0.62,DISSOLVER
2026-05-19 09:58:54.876000+00:00,,BTC_USDT_PERP,investigation,hold,DISSOLVER_CHOP,True,swing,short,0.213,64.07,0.061,0.19,0.983,1.0,1.34,-0.083,0.029,,0.31,0.18,0.4,0.92,0.8,0.0,0.2,0.2,0.6,DISSOLVER
2026-05-19 09:58:54.916000+00:00,,BTC_USDT_PERP,drift,hold,DISSOLVER_CHOP,True,trend,short,0.213,64.25,0.012,0.19,0.983,1.0,1.49,-0.117,0.033,,0.54,0.0,0.8,1.0,0.81,0.0,0.19,0.19,0.61,DISSOLVER
2026-05-19 09:58:55.445000+00:00,,ETH_USDT_PERP,investigation,hold,CREATOR_CHOP,True,trend,short,0.214,63.76,0.107,0.195,0.982,1.0,1.06,-0.352,0.021,,1.0,0.42,0.4,0.23,0.38,0.0,0.62,0.19,0.19,CREATOR
2026-05-19 09:58:55.690000+00:00,,ETH_USDT_PERP,investigation,hold,CREATOR_CHOP,True,trend,short,0.216,63.7,0.115,0.206,0.98,1.0,0.98,-0.466,0.036,,0.6,0.59,0.4,0.0,0.37,0.0,0.63,0.18,0.18,CREATOR
2026-05-19 09:59:25.848000+00:00,,BTC_USDT_PERP,drift,hold,DISSOLVER_CHOP,True,swing,short,0.213,64.16,0.004,0.19,0.983,1.0,0.72,-0.09,0.03,,0.66,0.86,0.33,0.0,0.8,0.0,0.2,0.2,0.61,DISSOLVER
2026-05-19 09:59:25.998000+00:00,,BTC_USDT_PERP,drift,hold,DISSOLVER_CHOP,True,trend,short,0.213,64.3,0.002,0.19,0.983,1.0,0.83,-0.124,0.033,,1.0,0.8,0.83,0.0,0.81,0.0,0.19,0.19,0.61,DISSOLVER
2026-05-19 09:59:26.327000+00:00,,ETH_USDT_PERP,investigation,hold,DISSOLVER_CHOP,True,trend,short,0.216,63.62,0.114,0.206,0.98,1.0,0.77,-0.47,0.036,,0.26,0.78,0.33,0.0,0.82,0.0,0.18,0.18,0.63,DISSOLVER
2026-05-19 09:59:26.523000+00:00,,ETH_USDT_PERP,investigation,hold,DISSOLVER_CHOP,True,trend,short,0.214,63.69,0.107,0.195,0.982,1.0,0.83,-0.356,0.021,,0.5,0.72,0.33,0.0,0.81,0.0,0.19,0.19,0.62,DISSOLVER
2026-05-19 09:59:55.506000+00:00,,BTC_USDT_PERP,drift,hold,DISSOLVER_CHOP,True,swing,short,0.213,64.23,0.004,0.19,0.983,1.0,0.75,-0.095,0.03,,0.68,0.79,0.29,0.0,0.8,0.0,0.2,0.2,0.61,DISSOLVER
2026-05-19 09:59:55.966000+00:00,,ETH_USDT_PERP,drift,hold,DISSOLVER_CHOP,True,trend,short,0.216,63.79,0.01,0.207,0.979,1.0,0.84,-0.483,0.036,,0.29,0.79,0.43,0.0,0.82,0.08,0.18,0.18,0.64,DISSOLVER
2026-05-19 09:59:56.260000+00:00,,BTC_USDT_PERP,drift,hold,DISSOLVER_CHOP,True,trend,short,0.213,64.35,0.002,0.19,0.983,1.0,0.85,-0.129,0.033,,0.89,0.75,0.86,0.0,0.81,0.0,0.19,0.19,0.61,DISSOLVER
2026-05-19 09:59:56.727000+00:00,,ETH_USDT_PERP,drift,hold,DISSOLVER_CHOP,True,trend,short,0.215,63.85,0.006,0.197,0.982,1.0,1.32,-0.372,0.021,,0.48,0.9,0.43,0.9,0.81,0.14,0.19,0.19,0.62,DISSOLVER
2026-05-19 10:00:56.760000+00:00,,BTC_USDT_PERP,investigation,hold,DISSOLVER_CHOP,True,swing,long,0.216,64.11,0.085,0.203,0.98,1.0,1.46,-0.064,0.039,,0.4,0.99,0.38,1.0,0.81,0.0,0.19,0.19,0.62,DISSOLVER
2026-05-19 10:00:57.347000+00:00,,ETH_USDT_PERP,investigation,hold,DISSOLVER_CHOP,True,trend,short,0.215,63.82,0.057,0.197,0.982,1.0,1.46,-0.461,0.03,,0.15,0.06,0.38,1.0,0.81,0.0,0.19,0.19,0.62,DISSOLVER
2026-05-19 10:00:57.420000+00:00,,BTC_USDT_PERP,investigation,hold,DISSOLVER_CHOP,True,trend,short,0.217,64.17,0.103,0.21,0.979,1.0,1.5,-0.12,0.046,,0.54,1.0,0.88,1.0,0.82,0.0,0.18,0.18,0.63,DISSOLVER
2026-05-19 10:00:57.900000+00:00,,ETH_USDT_PERP,investigation,hold,DISSOLVER_CHOP,True,trend,short,0.216,63.82,0.08,0.204,0.98,1.0,1.5,-0.487,0.033,,0.59,1.0,0.38,1.0,0.82,0.0,0.18,0.18,0.64,DISSOLVER
2026-05-19 10:01:27.244000+00:00,,BTC_USDT_PERP,drift,hold,DISSOLVER_CHOP,True,swing,long,0.215,64.2,0.004,0.201,0.981,1.0,0.84,-0.064,0.039,,0.72,0.51,0.33,0.0,0.81,0.0,0.19,0.19,0.62,DISSOLVER
